Anio,De 16 a 24 anios,De 25 a 29 anios,De 30 a 39 anios,De 40 a 49 anios,De 50 a 59 anios,De 60 a 69 anios,70 y mas anios
2006,66,46.2,33.5,23.9,16.9,14,20.9
2007,62.7,43.5,30.6,23.1,15.9,12.9,30.1
2008,59.2,41.1,28.6,21.7,14.8,10.9,23.5
2009,55.7,37.4,25.7,18.9,12.5,9.4,23.4
2010,58.4,37.5,25.4,18.9,12.1,10.3,23.1
2011,61.2,40.5,26.3,19.5,12,10.8,24.3
2012,62.2,40.2,24.8,17.7,11.5,10,17.9
2013,64.7,42.2,24.2,17.8,11.7,9.1,20.7
2014,69.1,43.9,25.2,18.6,12.7,8.1,12.1
2015,70.4,45.9,27,19.9,13.3,8.9,13.2
2016,72.9,47.8,27.5,21,14.4,10.4,19.2
2017,73.3,48.1,28.6,21.4,14.8,9.6,12.8
2018,71.2,47.3,29,21.2,16,10.4,20.9